file,artist,title,year,lyrics,mood
TRADNZM128F9300DF3.h5,Shawn Colvin,Sunny Came Home,1996,"Sunny came home to her favorite room
Sunny sat down in the kitchen
She opened a book and a box of tools
Sunny came home with a mission

She says days go by, I'm hypnotized
I'm walking on a wire
I close my eyes and fly out of my mind
Into the fire

Sunny came home with a list of names
She didn't believe in transcendence
And it's time for a few small repairs, she said
Sunny came home with a vengeance

She says days go by, I don't know why
I'm walking on a wire
I close my eyes and fly out of my mind
Into the fire

Get the kids and bring a sweater
Dry is good and wind is better
Count the years, you always knew it
Strike a match, go on and do it

Oh, days go by, I'm hypnotized
I'm walking on a wire
I close my eyes and fly out of my mind
Into the fire

Oh, light the sky and hold on tight
The world is burning down
She's out there on her own, and she's all right
Sunny came home

Sunny came home
Came home
Home",sad
TRASQBA128F427B273.h5,Belphegor,The Sukkubus Lustrate,2008,"Oh, black winged sukkubus
Icy hands surround my throat
Insert the wooden arm, ride the crucifix
Your life is mine, to hell we shall go
I am possessed, lick me, I'm so cold

Blow me straight to sado hell
Taste the ultimate sin, sin

The sukkubus ritual, Ich salbe Dich
The sukkubus lustrate, Ich errege Dich
The sukkubus ritual, Ich lecke Dich
The sukkubus lustrate, verehre Dich

Delight bizarre orgasm, full of dead romantic
Take these almighty wings, fly away with sathan
Your life is mine, to hell we shall go
I am possessed, lick me, I'm so cold

Blow me straight to sado hell
Taste the ultimate sin, sin

The sukkubus ritual, Ich salbe Dich
The sukkubus lustrate, Ich errege Dich
The sukkubus ritual, Ich lecke Dich
The sukkubus lustrate, verehre Dich",sad
TRBGAWQ128F9305F25.h5,Seventh Day Slumber,Famous One,2009,"And for all You've done and yet to do
With every breath I'm praising You
Desire of nations and every heart
You alone are God, You alone are God

You are the Lord, the famous one, famous one
Great is Your name in all the earth
The heavens declare You're glorious, glorious
Great is Your fame beyond the earth

The morning star is shining through
And every eye is watching You
Revealed by nature and miracles
You are beautiful, You are beautiful

You are the Lord, the famous one, famous one
Great is Your name in all the earth
The heavens declare You're glorious, glorious
Great is Your fame beyond the earth

Famous one, famous one
Famous one, famous one

You are the Lord, the famous one, famous one
Great is Your name in all the earth
The heavens declare You're glorious, You're glorious
Great is Your fame beyond the earth

You are the Lord, the famous one, famous one
Great is Your name in all the earth
The heavens declare You're glorious, glorious
Great is Your fame beyond the earth
Great is Your name in all the earth",happy
TRADFQK128F422B492.h5,Casiotone For The Painfully Alone,Rice Dream Girl,1999,"i was in the safeway store
when i saw you in aisle four
i swear you looked so nice
you were buying milk that was made out of rice

i tried to think of something clever to say
but you were already walking away
in an attempt to get my groove on
i offered you my white castle coupon

the radio was playing seal
i tried to tell you how i feel
but then our shopping carts locked wheels
&amp; the moment just seemed wrong

oh won't you do what's right
put your groceries in my car tonight
i want to take you home

oh w/ your eyes of blue
i want to drink rice milk w/ you
i'll be your one and only
so we won't be so lonely",sad
TRABZCL128E0789AED.h5,Shelby Lynne,Old Times Sake,2005,"Before you go and walk out on me
Take a look around and tell me what you see
'Cause here I stand like an open book
Is there something here you might have overlooked

And it would be a shame if you leave
And find that freedom ain't what you thought it would be

The years we had were not all bad
In fact I know the good outweighed the bad
And now you say that you've grown tired
And you want to be by yourself a while

It would be a shame if you go
And find that freedom was a long time ago

I know you can't stand for chains to bind you
But they just keep on driving us apart
And you could go where I would never find you
But could you go far enough to get away from you're heart

So one more time for old times sake
Come and lay your head upon my chest
Please don't throw this moment away
We can forget the bad and take the best

And if you don't have nothing left to say
Let me hold you one more time for old times sake
And if you don't have nothing left to say
Let me hold you one more time for old times sake",sad
TRBFNDW128F9359ECE.h5,Mississippi John Hurt,Coffee Blues,1966,"This is the Coffee Blues, I likes a certain brand
Maxwell's House, it's good till the last drop
Just like it says on the can,  I used to have a girl
Cookin' a good Maxwell House, she moved away

Some said to Memphis and some said to Leland
But I found her, I wanted her to cook me some
Good Maxwell's House, you understand?
If I can get me just a spoonful of Maxwell's House
Do me much good as two or three cups this other coffee

I've got to go to Memphis, bring her back to Leland
I wanna see my baby 'bout a lovin' spoonful, my lovin' spoonful
Well, I'm just got to have my lovin'

I found her

Good mornin', baby, how you do this mornin'?
Well, please, ma'am, just a lovin' spoon, just a lovin' spoonful
I declare, I got to have my lovin' spoonful

My baby packed her suitcase and she went away
I couldn't let her stay for my lovin', my lovin' spoonful
Well, I'm just got to have my lovin'

Good mornin', baby, how you do this mornin'?
Well, please, ma'am, just a lovin' spoon, just a lovin' spoonful
I declare, I got to have my lovin' spoonful

Well, the preacher in the pulpit, jumpin' up and down
He laid his Bible down for his lovin', ain't Maxwell House all right?
Well, I'm just got to have my lovin'",happy
TRALDWN128EF33FB6E.h5,Inspiral Carpets,Commercial Reign,1990,"Mary's crying for her baby, for her baby doll
Ah, commercial reign
Peter's moaning for his teddy, for his teddy bear
Ah, commercial reign

Mary's crying for her baby, for her baby doll
Ah, commercial reign
Peter's moaning for his teddy, for his teddy bear
Ah, commercial reign

Mary's crying for her baby, for her baby doll
Ah, commercial reign
Peter's moaning for his teddy, for his teddy bear
Ah, commercial reign

Mary's crying for her baby, for her baby doll
Ah, commercial reign
Peter's moaning for his teddy, for his teddy bear
Ah",sad
TRAISYU128F427F486.h5,Frankie J,Gone,2005,"Damn... I miss you
MMM... ooh

I toss and turn... it's so hard for me to sleep
I guess I'm no used to being alone... yeah
And I know it's because of me
And I'm trying to face this reality
Past relations they've made me into this man that I am
Knowing now that it's wrong
It's too late cuz she's gone

Gone... gone... gone
Don't think she's ever coming back
It's killing me
That I let her heart down completely
I should've gave her all of me
She's gone
Gone... gone... gone
She ain't even thinkin' 'bout me honestly
Being strong to carry on ain't easy
Gotta face it she's gone... gone

This house is cold
It's like doing time in the pen
Wondering where she is and who she with... yeah
But the hardest thing is there's no one else to blame but me
So I guess I have to take it like a man
But I don't know if I'll ever love again
yeah... yeah

Cuz this pain I'm feeling inside is like a hollow point through my heart
I know that it's kinda crazy
But I feel like I'm falling apart
Usually I'm so cool, but I lost it when
She walked away
Lost without her... and she's gone

Gone... gone... gone
Don't think she's ever coming back
It's killing me
That I let her heart down completely
I should've gave her all of me
She's gone
Gone... gone... gone
She ain't even thinkin' 'bout me honestly
Being strong to carry on ain't easy
Gotta face it she's gone... gone

Without some kind of intervention
I can't go on another day... oh
And I can't even bare to mention
The very sound of her name
Without the sky turnin into clouds
Without the rain falling down
Falling down... again... again
I can't face the fact that she's gone

Gone... gone... gone
Don't think she's ever coming back
It's killing me
That I let her heart down completely
I should've gave her all of me
She's gone
Gone... gone... gone
She ain't even thinkin' 'bout me honestly
Being strong to carry on ain't easy
Gotta face it she's gone... gone",sad
TRAXOQP128F930DD49.h5,Mungo Jerry,Pushbike Song,2001,"Sh, sh, ahh, sh, sh, ahh
Sh, sh, ahh, sh, sh, ahh

Ridin' along on my pushbike, honey
When I nowhere near you
Round down town, in a hurry, honey
Now, I've got my sights on you

You look so pretty, she was ridin' along
You look so pretty, she was singing this song

Ahh,
Sh, sh, ahh, sh, sh, ahh
Sh, sh, ahh, sh, sh, ahh

Puttin' on speed, as I tried catchin' up
But you were pedaling harder too
Riding along like a hurricane, honey
Speeding afta you

You look so pretty, she was ridin' along
You look so pretty, she was singing this song

Brr, sing this song
Round, round, wheels go round and round
Down, up pedals, down, up, down
Well, gotta get across to the other side of town
B'fore the sun goes down, hey, hey

Shh, shh, ahh, shh, shh, ahh
Shh, sh, ahh, sh, sh, ahh

Well, we're ridin' along on a bicycle, honey
That's a bicycle built for two
Lookin' at my honey in the rear-view mirror
Now I got a better of view

You look so pretty, she was ridin' along
You look so pretty, she was singing this song

Sing this song
Round, round, wheels go round and round
Down, up pedals, down, up, down
Well, gotta get across to the other side of town
B'fore the sun goes down, hey, hey

Shh, shh, ahh, shh, shh, ahh
Shh, sh, ahh, sh, sh, ahh",happy
TRARMUI128F147162F.h5,The Jam,The Modern World,1977,"This is the modern world
This is the modern world

What kind of fool do you think I am?
To think I know nothing of the modern world
All my life it's been the same
I've learnt to live by hate and pain
It's my inspiration drive

I've learnt more than you'll ever know
Even at school I felt quite sure
That one day I would be on top
Another dot upon the map
The teachers who said I'd be nothing

This is the modern world that I've learnt about
This is the modern world we don't need no one
To tell us what's right or wrong
This is the modern world

Say what you like 'cause I don't care
I know where I am and going to
It's somewhere I won't preview
Don't have to explain myself to you
I don't give two fucks about your review

This is the modern world that I've learnt about
This is the modern world we don't need no one
To tell us what's right or wrong

Modern word, this is, this is, this is
This is, this is, this is, this is
Hey, we don't need no one
To tell us what's right or wrong

This is the modern world
This is the modern world",sad
TRAKQXJ128F147A028.h5,AFI,Summer Shudder,2006,"Listen when I say, when I say it's real
Real life goes undefined, why must you be so miserable?
Everything you take makes me more unreal
Real lines are undefined, how can this be so miserable?

Under the summer rain I burnt away
Under the summer rain you turned away
  (Burn!)

(Under the summer rain)

Listen I can't make, make a sound or feel
Feel fine, I kissed the lies why must they be so distant? Whoa
Listen as I break, break the four wall seal
Gorgeous eyes shine suicide, when will we be invisible?

Under the summer rain I burnt away
Under the summer rain we burned away
  (Burn!)
Under the summer rain I burnt away
Under the summer rain you turned away
  (Burn!)

This is the fall, this is the long way down
And our lives look smaller now and our lives look so small
(Willingly crying)
This is the fall, this is the long way down
And our lives look smaller now and our lives look so small

Under the summer rain I burnt away
Under the summer rain we burned away
  (Burn!)

Under the summer rain I burnt away
Under the summer rain we burned away
  (Burn!)
Under the summer rain I burnt away
  (Burn!)
Under the summer rain you turned away
  (Burn!)",happy
TRBHKCL128F425A036.h5,George Michael,Shoot The Dog,2004,"GTI, Hot Shot
He parks it there, just to piss me off
Bullyboy, gonna show ya who's tough
I'm gonna shoot the dog, I'm gonna shoot the dog

It's party time, everyday
I spent Saturday night on Novocaine
Called the pigs, but nobody came
I'm gonna shoot the dog, I'm gonna shoot the dog
(Come on ladies)

Nine, nine, nine gettin' jiggy
People did tou see that fire in the city?
It's like we're fresh out of democratic
Gotta get yourself a little something semi-automatic, yeah

That's why I'm always gettin' stoned, yeah
That's why I'm out there havin' fun again
Good puppy, good puppy
Rolling on over

Mustapha, Mazeltov
The Gaza Boys, All that holy stuff
I got the feelin' when it all goes off
They're gonna shot the dog, they're gonna shoot the dog

So, Cherie my dear
Could you leave the way clear for sex tonight?
Tell him ""Tony Tony Tony, I know that you are horny
But there's somethin' 'bout that Bush ain't right""

Nine, nine, nine gettin' jiggy
People did tou see that fire in the city?
It's like we're fresh out of democratic
Gotta get yourself a little something semi-automatic, yeah

That's why I'm always gettin' stoned, yeah
That's why I'm out there havin' fun again
Good puppy, good puppy
Rolling on over

The Ayatollah's gettin' bombed, yeah
See Sergeant Bilko having fun again
Good puppy, good puppy
Rolling on over for The Man

I believe, I believe what the old man said
Though I know that there's no lord above
I believe in me, I believe in you
And you know I believe in love

I believe in truth though I lie a lot
I feel the pain from the push and shove
No matter what you put me through
I'll still believe in love and I say

Cherie baby, spliff up
I wanna kick back mama
And watch the world cup with ya baby
Yeah, that's right!

We're getting freaky tonight, stay with me tonight
Let's have some fun while Tony's stateside
It's gonna be alright, it's gonna be alright
See Tony dancing with Dubya, don't you wanna know why?",happy
TRBEOUP12903CF652E.h5,Joe Bonamassa,So Many Roads,2006,"So many roads
So many trains to ride

So many roads
So many trains to ride

I'm gonna find my baby
Before I'll be satisfied

I was standing at my window
When I heard that whistle blow

I was standing at my window
When I heard that whistle blow

I thought it was a straight line
But it was B &amp; O

It was a mean old fireman
And a cruel engineer

It was a mean old fireman
And a cruel engineer

That took my baby
And left me standing here

So many roads
So many trains to ride

So many roads
So many trains to ride

I'm gonna find my baby
Before I'll be satisfied",sad
TRAAHZP12903CA25F4.h5,Organized Konfusion,Hate,1997,"Recognize me, nigga, look into my eyes
See raw visualizations of hate reincarnated
In it's most unadulturated form, I breed evil incarnate
Only for the purpose to mislead, what was once promising seeds
Are now destroyed and misplaced with mischievious weeds for greed

The purpose, inseminate the bitches
Eliminate top rappers, throw their remains insides of ditches
Nigga, political snitches, maybe me which is
The very reason I'm able to strike so vicious, yea

Take these keys, that for years were not found
Allowing all Simeons to be freed that's locked down
It returns way back to the block
Only to cop more Smack, Rock from cops that act

Not in a manner for you to prosper
You are absolete unless
You can handle the ball during a full-court press
When the weak emotion of love fails to bring hope

Kneel to your master, nigga, invoke
The strongest emotion known to mankind, hate
Aww, you are sadly mistaken if you think my Aryan race
Can be taken out by the likes of you Apes, Kikes

Conservative nigga loving Gooks, Spooks and Dykes
My Spikes, bald headed white laces
Braces the fact that I'm prepared for vicious acts of war
White Power, hate

What we have hear is a situation where our government
Is allowing these aliens to take over the country
We can't allow this to happen, turn your bibles to Psalms 34:21
Evil shall slay the wicked and they that hate the righteous

Shall be desolate, you there
Young man in the back with your hand up

Who me?
Speak

A fucking taxpayer who salutes to a Confederate flag
My chain and thoughts is on the rag
Aryan ways learned from my grand-dad
I'm on my toes around these monkeys and spics

I thank God that I'm white, pure and don't mix
We need to snatch up these niggas and fags, reissue slave tags
Regain job positions, remain in control of opposition
Placed here to be the scum of the earth, serving us hand and foot

I'll rape 'em, and slave and trade 'em from birth
Never to overlook the main crook who disperse shook
Versions of the bible, sabotaging shit
Since Christopher's arrival, hate

Making them Indian, pay for survival
Now life for Ricans and Coons is homicidal
We Neo-Nazis seek nothing but world domination
God's plan is for us to seek and destroy man's false creation

It's exerted in the good book of Revelations
Set up to destroy spades and Jews from hidden stations
So my offspring's can end all this confusion for good
No more smooching off of welfare for jiggaboos in the so-called hood

Sickle cells decreasing your death rate, you black bitch
But I like the way you suck my wood
Germ grenades now in the form of AIDS were made to wipe you out
But now them queers got that shit semi-reversed running about

I'm off to college with a knapsack of sacrilegious artifacts
Notes from the Grand Dragon, swastika, three grams, two gats
With hate",sad
TRAJEBQ128F146E00E.h5,Tsar,Conqueror Worm,2005,"Go glam, the conqueror worm
Defender of the American way
A friend to the weak, the smug, the huddled thugs

A waste of money, it's sad but true
But in the morning it'll feel all right
Chart a course with magnetic strips for our broken hearts

We are screaming towing the line
And disposable by design

Get lovely, lovely, lovely, my girl
I don't wanna be the one to tell you
The luckiest, luckiest, luckiest world
Is the one between your eyes

Imagine, imagine if we, we were thin
In the crown of the conqueror worm
And as time pens down
We'll say that we'll always feel this way

Shock to the heart and away we go
And if you wake up in the morning and it still feels wrong
Then put your money in the sad machines
For bombs, punks and tiger teams

Wear heavy metal pants for the labelin' head
Who can blame it on the band
Who killed themselves next door
For just another little chance to love a lie

I say they loved a lie
And we will kick them straight down the line
With a conscience clear of mind

So get lovely, lovely, lovely, my girl
I don't wanna be the one to tell you
The luckiest, luckiest, luckiest world
Is the one between your eyes

Imagine, imagine if we we were thin
In the torch of the conqueror worm
And as time pens down
We'll say that we'll always feel this way
Hey, hey

So get lovely, lovely, lovely, my girl
I don't wanna be the one to tell you
The luckiest, luckiest, luckiest world
Is the one between your eyes

Imagine, imagine if we we were thin
In the mouth of the conqueror worm
And as time pens down
We'll say that we'll always feel this way

Hold on, the conqueror worm
And screw your courage to the hardest part
They're only looking for
An open chance to break your heart",happy
TRAKPSR128F146A1DC.h5,Bryan Ferry,Wildcat Days (1999 Digital Remaster),1994,"Hanging 'round endlessly
Dog eat dog, dead end street
Dead end street
Dead end street

Brave new world
I can't break you down
I can see there is no ways out
No ways out
No ways out

Wild and free in the dead of night
I can dream, what I want I get
Out of touch with all that kitchen jive
Wildcat days, lonely nights
Lonely nights

Fair is foul, foul is fair
I cry out loud but there's no one there
The more we live, the most who die
Wildcat days, lonely nights

Lonely nights
Lonely nights
Lonely nights
Lonely nights",sad
TRAGPEA128F422B47E.h5,Casiotone For The Painfully Alone,Dying Batteries,2001,"i know you're lying
when you start talking like your batteries are dying
the words get slow
when there are things you don't want me to know

but before you let the room go to ice
i remind you that the song on the radio is nice
so let's just listen",sad
TRACUEE128F427EA05.h5,3 Doors Down,Sarah Yellin',2002,"She says, ""I've got something to say""
She knows, that what she says will change everything
She's laid, through too many sleepless nights
She's cryin', she's cryin', she's cryin'

Mother, that man took my soul away
Father, how could you ever treat me this way?
Brother, don't ever let him do this again
This time it's over I'm gonna make it end

Now it's over and the old man is dead
Lyin' on the ground, bullet in his head

She stood, at the foot of the guilty bed last night
She held, what would set her free for the rest of her life
She did, all that she said, that she'd planned to do
She's through, she's through, she's through, yeah

Mother, that man took my soul away
Father, how could you ever treat me this way?
Brother, don't ever let him do this again
This time it's over I'm gonna make it end

Now it's over and the old man is dead
Lyin' on the ground, bullet in his head

There's a bullet in your head
I kept fallin' down, look who's fallin' now
I kept cryin' out, look who's cryin' now
I kept fallin' down, look who's fallin' down
On me, on me, on me, on me

""Now it's over"", this is what she said
He's lyin' on the ground
Bullet in his head",sad
