file,artist,title,year,lyrics
TRAACSL128F93462F4.h5,The Shangri-Las,Twist and Shout,1964,"Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon c'mon, c'mon, c'mon, baby, now (Come on baby)
Come on and work it on out (Work it on out)
Well, work it on out, honey (Work it on out)
You know you look so good (Look so good)
You know you got me goin', now (Got me goin')
Just like I knew you would (Like I knew you would)
Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon, c'mon, c'mon, c'mon, baby, now (Come on baby)
Come on and work it on out (Work it on out)
You know you twist your little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer, now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)
Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon, c'mon, c'mon, c'mon, baby, now (Come on baby)
Come on and work it on out (Work it on out)
You know you twist your little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer, now (Twist a little closer)
Aand let me know that you're mine (Let me know you're mine)
Well, shake it, shake it, shake it, baby, now (Shake it up baby)
Well, shake it, shake it, shake it, baby, now (Shake it up baby)
Well, shake it, shake it, shake it, baby, now (Shake it up baby)"
TRAACTB12903CAAF15.h5,Billie Jo Spears,It Makes No Difference Now,1992,"Makes no difference now what kind of life fate hands me
I'll get along without you now that's plain to see
I don't care what happens next 'cause I'll get by somehow
I don't worry 'cause it makes no difference now

It was just a year ago when I first met you
I learned to love you and I thought you loved me too
But now that's all in the past and I'll forget somehow
I don't worry 'cause it makes no difference now

(Instrumental)

Now that we have really parted I can't believe we're through
I don't blame myself and I'm sure I can't blame you
I know that something had to happen and it happened somehow
I don't worry 'cause it makes no difference now

After all is said and done I'll soon forget you
Although I know that it will be so hard to do
Let things happen as they will and I'll get by somehow
I don't worry 'cause it makes no difference now"
TRAADNA128F9331246.h5,Stevie Ray Vaughan,Crossfire,1992,"Day by day, night after night,
Blinded by the neon lights.
Hurry here, hustlin' there,
No one's got the time to spare.
Money's tight, nothin' free,
Won't somebody come and rescue me?
I am stranded, caught in the crossfire
Stranded, caught in the crossfire.

Tooth for tooth, eye for an eye.
Sell your soul just to buy, buy, buy.
Beggin' a dollar, stealin' a dime,
Come on can't you see that I
I am stranded, caught in the crossfire
I am stranded, caught in the crossfire.

I need some kind of kindness, some kind of sympathy oh, no
We're stranded, caught in the crossfire

Save the strong lose the weak,
Never turning the other cheek.
Trust nobody don't be no fool,
Whatever happened to the golden rule?
We got stranded, caught in the crossfire
We got stranded, caught in the crossfire
We got stranded, caught in the crossfire
Stranded, caught in the crossfire
Help me."
TRAADQX128F422B4CF.h5,Casiotone For The Painfully Alone,Nashville Parthenon,2006,"if you ever make it back to Nashville
remember you have still got a friend
I'll meet you at the Parthenon
that's the place we always went

it's been so dull since you left Nashville
I've read the same books again &amp; again
it makes me wish I wasn't bashful
when it comes to other men

but if I could have my way
Darling you'd come home

remember when you moved to Nashville
&amp; the first time that we kissed
remember when your mother found us
remember that you're sorely missed

&amp; when you make it back to Nashville
we'll forget all of your sins
&amp; I still buy two pairs of everything
so when you come home you &amp; I'll be twins

because if I could have my way
I wouldn't be alone"
TRAADVH128EF34DE7A.h5,The New York Dolls,Human Being,1974,"One, two, three, four

Well, if you don't like it
Go ahead, find yourself a saint
Go ahead, now try to find a boy
Who's gonna be what I ain't

Now what you need is
A plastic doll with a fresh coat of paint
Who's gonna sit through the madness
And always acts so quaint, I said, ""Yeah, yeah, yeah""

With your new friend
You're really making a scene
And I see you bouncing around
From machine to machine

And you know they're never real, they're
Never what they seem
And you can try to generate some warmth
And you see just what I mean, I said, ""Yeah, yeah, yeah""

And if I'm acting like a king
Well, that's cause I'm a human being
And if I want too many things
Don't you know that I'm a human being

And if I've got to dream
Baby baby baby yeah I'm a human being
And when it gets a bit obscene
I'm a human being

And I've just got to go around with my head hung down
Just like a human, babe, an unknown human being
And I can hold my head so high
'Cause I'm a human, a riff raff human being

Why won't you give me a little sip?
Why don't you try me on a drag of that cigarette?
Why don't you try to give me something that
I will never ever forget?

But now don't you blow it all on a million dollar bet
Because you're liable to lose it
On the best lovin' you've had yet
I'm beggin' yeah, yeah, oh yeah

And if I'm acting like a king
Well, that's 'cause I'm a human being
I want too many things
Don't you know that I'm a human being

And if I've got to dream
I said, ""Well I'm a human being""
And when it gets a bit obscene
I'm a human being

And I've got to go around with my head hung down
Just like a human, babe an unknown human being
And I can hold my head so high
'Cause I'm a human, a riff raff human being

In fact I'm talking about the human race
You're trying to cover up the big disgrace
I said, ""Yeah, yeah, yeah""
Oh, c'mon, c'mon, c'mon

Yeah, yeah, oh yeah
Well, I may think that this whole scene is
Just a too appalling for me
Or I may be the type who's just a mad about
Every little thing that I see

But I can color that with mystery
Or make it just what I want it to be
While I'm blowing my change on the fan magazines
With all the Hollywood refugees screaming, ""Yeah, yeah, oh yeah""

And if I'm acting like a king
I said, ""Well, I'm a human being""
And if I want too many things
Don't you know that I'm a human being

If I've got to dream
Baby, baby, baby, I'm a human being
And when it gets a bit obscene
I'm a human being

I'm a human being
I'm a human being
I'm a human being
I'm a human being"
TRAADYB128F92D7E73.h5,Eliane Elias,The More I See You,2009,"The more I see you the more I want you
Somehow this feeling just grows and grows
With every sigh I become more mad about you
More lost without you and so it goes

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try

The more I see you the more I want you
Somehow this feeling just grows and grows
With every sigh I become more mad about you
More lost without you and so it goes

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try
The more I see you as years go by

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try
The more I see you as years go by

The more I see you the more I want you
The more I see you the more I want you
The more I see you the more I want you"
TRAADYI128E078FB38.h5,Lost Boyz,Certain Things We Do,1997,"(Chorus: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
It's my first night in this spot
I can't front people jump okay it's rather hot
I'm with my brother, while roll he went and got the mole
He said he'll meet us at the party, yeah we just did the show
Now all my peeps is on the floor and they bouncin
The Lost Boyz is in the house, they're announcing (announcing)
We getting lifted with these honeys that we just met
They're dime pieces but ain't slidin with us yet
We gots to get our stroll on, hit the floor once
See eye to eye, he's on his way, he's bringin more pound
No need for my team to front in profile
Two shorties flirtin with Freaky Tah and B-Wild
I see my niggaz in suit, and he's chattin with
This genuine fine ass man (ass man)
Yo kid, I love it when my mind is in the right mist
If you with me throw your elves up like this
Everybody now

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
Yo shortie hop with the DK and Y all night
I think I'll walk over there and get my cry on
She playin hard to get, but when I get that
I'ma take it to the S's son I hit that
I can see it in the eyes, cause they don't lie

She's tryin hard to resist baby don't try
Now grab your drink come close to me
It's only right and that's way it's supposed to be
Now we loungin, chillin in the VIP
Got my nigga Ref and Bink with me
G Money &amp; Jeff Star they at the bar
LB fam will, gear up to par
Off the boo and the Queens, shreed and the cuts
We represent fam nigga what
Givin love to everybody walkin by
Throw your elves in the air if you high

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
Now I'm wanderin who I'm goin home with
I got two chicks but only one is owned with
I got the whip down South plus some toe up
A favorite motherfucker safe from the floor up
Now the second one's hot cause she got class
See the first one's butt, she ain't got ass
Like she do, now you know how we do
We only fuck with the beat that will feed you
Now do I have to tell you what I did?
Grab my coat, cause shorties in a slid
to her diner, we got our eat on
You know my style kid; I got my treat on
So now we back at the last smokin Cannabis, Sativa
To the bone of the receiver
Put some sounds on as we end the herb
End and that, then again, this world

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night"
TRAAEAM128F934B199.h5,The Germs,Forming,1977,"Rip them down, hold them up
Tell them that I'm your gun
Pull my trigger, I'm bigger than

Mr. Prez in his big white house
Listen he says, ""We're coming out""
Infiltration, we're numbing your minds
Concentration, we've done time

Rip them down, hold them up
Tell them that I'm your gun
Pull my trigger, I'm bigger than

Over there the queen she says
""Let's stamp them out and dry those tears""
Saturation, we want it in taxes
Flagellation, we've got gashes

Rip them down, hold them up
Tell them that I'm your gun
Pull my trigger, I'm bigger than

In the cold, the czar's claimin'
Just protectin', rockets aimin'
Alteration, the Earth is changin'
Observation, we want action

Rip them down, hold them up
Tell them that I'm your gun
Pull my trigger, I'm bigger than

I, the Emperor proclaim
Us the masters, we rule this game
Inclination, somethin' to dream on
Deprivation, we are sons

Rip them down, hold them up
Tell them that I'm your gun
Pull my trigger, I'm bigger than"
TRAAEUB12903CDD3EA.h5,The Berzerker,Deform (live),2000,"Degradation, i don't want your,
rhinoplasty, i don't need you,
not any more,
though i am a perverted man,
disproportioned, version of a,
normal man, dirty man,
any surgery can not get the god dam filth out of my head,

Maladjusted, not because of,
my appearance, you can't see past,
how i was born, are you blinded by the way you live?
violated, version of a,
normal man, dirty man,
reconstruction, reformation, reaching out into a shallow world,

My normal features, they gaze with impunity,
i am an animal, don't want to be a man,
i wish destruction on every man i see,
am i a man, am i a man, am i?
to forgive them means loss of my memory,
can i decide between a psycho and a citizen,
no chance of that i want death to my enemy,
i'm not a man, i'm not a man,

How can you think of me? judge of me? watch me?
all i want to be is, is to be free,

Degradation, i don't want your,
rhinoplasty, i don't need you,
though i am a perverted man,
disproportioned, version of a,
normal man, dirty man,
any surgery can not get the god dam filth out of my head"
TRAAFJW128F428A424.h5,NOFX,Stickin In My Eye,1992,"When I look 'round, I only see outta one eye
As the smoke surrounds my head, the sauna
I hear the voices, but I can't make out their words
Saying things, saying things that
I got something sticking in my eye
Got something sticking in my eye
Got something sticking in my eye

I feel unusual from thinking
About the underground decay, God help me
Kill beneath the camera, watch the world begin to cry
It's not from pity
It comes from what's been sticking in my eye
Got something sticking in my eye
Got something sticking in my eye
Got something sticking in my eye
Got something sticking in
Got something sticking in
Got something sticking in my eye"
TRAAGCZ128F93210FD.h5,Black Eyed Peas,Let's Get It Started,2004,"- Let's get it started, in here...

And the bass keep runnin' runnin'...
And runnin', runnin'...
And runnin', runnin'...
And runnin', runnin'...
And runnin', runnin'...
And runnin', runnin'...
And runnin', runnin'...
And runnin', runnin' and...

In this context, there's no disrespect
So, when I bust my rhyme, you break your necks
We got five minutes for us to disconnect
From all intellect collect the rhythm effect
To lose this inhibition, follow your intuition
Free your inner soul and break away from tradition
Coz when we beat out, girl it's pullin' without
You wouldn't believe how we wow shit out!
Burn it till it's burned out
Turn it till it's turned out
Act up from North, West, East and South!

Everybody, everybody, let's get into it (Yeah), get stupid (C'mon)
Get it started (C'mon), get it started (Yeah), get it started
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started... (In here!)
Yeah...

Lose control, of body and soul
Don't move too fast, people, just take it slow
Don't get ahead, just jump into it
Ya'll here a body, two pieces to it
Get started, get stupid
You'll want me body people will walk you through it
Step by step, like you're into new kid
Inch by inch with the new solution
Transit hits, with no delusion
The feeling's irresistible and that's how we movin'

Everybody, everybody, let's get into it (Yeah), get stupid (C'mon)
Get it started (C'mon), get it started (Yeah), get it started
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started... (In here!)
Yeah...

Runnin', runnin', and runnin', runnin'... (C'mon y'all, let's get...)

Let's get cookoo! (Uh-huh!)
Let's get cookoo! (In here!)
Let's get cookoo! (Uh-huh!)
Let's get cookoo! (In here!)
Let's get cookoo! (Uh-huh!)
Let's get cookoo! (In here!)
Oh, oh, ohhhhhhhhhhhhh

Let's get I'll, that's the deal
At the gate, we'll bring the bud top drill...
(Just...) Lose your mind this is the time
Ya'll test this drill just and bang your spine
(Just...) Bob your head like me Apl.De
Up inside your club or in your Bentley
Get messy, loud and sick
Ya'll mount past slow mo in another head trip
(So...) Come then now do not correct it
Let's get ignorant, let's get hectic

Everybody, everybody, let's get into it, get stupid (C'mon)
Get it started (c'mon), get it started (yeah), get it started
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started... (In here!)
Let's get it started... (Ha!)
Let's get it started (woah, woah, woah) in here (Yeah)

Let's get cookoo! (Uh-huh!)
Let's get cookoo! (In here!)
Let's get cookoo! (Uh-huh!)
Let's get cookoo! (In here!)
Let's get cookoo! (Uh-huh!)
Let's get cookoo! (In here!)
Oh, oh, ohhhhhhhhhhhhh

Runnin', runnin', and runnin', runnin'...
And runnin', runnin', and runnin', runnin'..."
TRAAGEC128E079252C.h5,Nine Inch Nails,Metal,2000,"We're in the building where they make us grow
And I'm frightened by the liquid engineers
Like you

My Mallory heart is sure to fail
I could crawl around the floor just like I'm real
Like you

The sound of metal I want to be you
I could learn to be a man
Like you

Plug me in and turn me on
Oh, everything is moving

I need my treatment it's tomorrow they send me
Singing, ""I am an American""
Do you?

Picture this if I should make the change
I'd love to pull the wires from the wall
Did you?

And who are you and how can I try?
Here inside I like the metal
Don't you?

All I know is no one dies
I'm still confusing love with need"
TRAAGGE128F9325E2C.h5,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),0,"Once she lay open like a road
Carbed apart the madness that I stumbled from
But she fell away
She fell away
Shed me like a skin
She fell away
Left me holding everything
Once the road lay open like a girl
And we drank and laughed and threw the bottle over
But she fell away
She fell away
I did not see the cracks form
As I knelt to pray
I did not see the crevice yawn, no
Sometimes
At night I feel the end it is at hand
My pistol going crazy in my hand
For she fell away
O she fell away
Walked me th the brink
The fell away
I did not see her fall
To better days
Sometimes I wonder was she ever there at all
She fell away
She fell away
She fell away"
TRAAGKS128F9314884.h5,Emperor,Opus a Satana (Part 2),0,"-Originaly featured on the ""In The Nightside Eclipse"" album under
the
title ""Inno a Satana"".
Original music &amp; arrangements by Insahn &amp; Samoth.
(Classical arrangement and performance by Ihsahn)"
TRAAGPF12903CE027E.h5,Slim Whitman,Indian Love Call,1990,"Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo
When I'm calling you
Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo
Will you answer too?
Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo

That means I offer my love to you to be your own
If you refuse me I will be blue, waiting all alone

But if when you hear my love call ringing clear
Oo-Oo-Oo-Oo
And I hear your answering echo so dear
Oo-Oo-Oo-Oo
Then I will know our love will become true
You'll belong to me I'll belong too you"
TRAAGPH128F4273C8D.h5,Savage Garden,You Can Still Be Free,1999,"Cool breeze and autumn leaves
Slow motion daylight
A lone pair of watchful eyes
Oversee the living

Feel the presence all around
A tortured soul
A wound unhealing
No regrets or promises
The past is gone

But you can still be free
If time will set you free

Time now to spread your wings
To take to flight
The life endeavor
Aim for the burning sun
You're trapped inside

But you can still be free
If time will set you free
But it's a long long way to go

Keep moving way up high
You see the light
It shines forever
Sail through the crimson skies
The purest light

The light that sets you free
If time will set you free

Sail through the wind and rain tonight
You're free to fly tonight
And you can still be free
If time will set you free
And going higher than mountain tops
And go high like the wind don't stop
And go high

Free to fly tonight
Free to fly tonight
Free to fly tonight
..."
TRAAGPJ128F428CD1B.h5,Queens Of The Stone Age,I Never Came,2005,"When you say it's dead and gone, yes, I know you're wrong
Cut and slash, sharpest knife, it won't die
Poison cup, drank it up, it won't die
No fire, no gun, no rope, no stone, it won't die

Why you gotta shove it in my face?
As if you put me in my place
'Cause I don't care if you or me is wrong or right
Ain't gonna spend another night in your bed, in your bed

Laws of man, are just pretend, they ain't mine
Love so good, love so bad, it won't die
Some talk too long, they know it all, I just smile and move on
Words ain't free like you and me, I don't mind

Why'd you have to be so mean and cruel?
The dogs are loose I'm on to you
You ball and chained together from the dawn to dusk
Can't call it leavin', 'cause it's just, I never came

I never came, I never came, I never came
I never came, I never came, I never came"
